Date,Open,High,Low,Close
02/03/2022,"2,662.38","2,662.38","2,616.36","2,618.86"
02/02/2022,"2,662.49","2,672.04","2,642.87","2,662.38"
02/01/2022,"2,635.38","2,665.62","2,611.33","2,662.49"
01/31/2022,"2,578.31","2,635.42","2,565.36","2,635.38"
01/28/2022,"2,529.82","2,578.44","2,497.66","2,578.31"
01/27/2022,"2,569.53","2,617.33","2,519.16","2,529.82"
01/26/2022,"2,595.15","2,652.04","2,545.85","2,569.53"
01/25/2022,"2,641.49","2,641.49","2,550.87","2,595.15"
01/24/2022,"2,594.49","2,646.88","2,523.14","2,641.49"
01/21/2022,"2,639.28","2,654.32","2,592.79","2,594.49"
01/20/2022,"2,687.06","2,731.28","2,636.72","2,639.28"
01/19/2022,"2,724.07","2,742.74","2,686.07","2,687.06"
01/18/2022,"2,782.64","2,782.64","2,719.80","2,724.07"
01/14/2022,"2,776.45","2,783.67","2,744.45","2,782.64"
01/13/2022,"2,798.79","2,828.13","2,785.31","2,791.76"
01/12/2022,"2,807.04","2,830.98","2,785.61","2,798.79"
01/11/2022,"2,782.19","2,807.45","2,757.49","2,807.04"
01/10/2022,"2,793.14","2,793.14","2,736.59","2,782.19"
01/07/2022,"2,814.81","2,827.42","2,785.25","2,793.14"
01/06/2022,"2,801.07","2,832.28","2,786.90","2,814.81"
01/05/2022,"2,865.54","2,875.96","2,800.63","2,801.07"
01/04/2022,"2,851.05","2,877.35","2,851.05","2,865.54"
01/03/2022,"2,842.00","2,868.21","2,830.30","2,851.05"
12/31/2021,"2,839.33","2,856.27","2,836.90","2,842.00"
12/30/2021,"2,847.83","2,864.71","2,838.04","2,839.33"
12/29/2021,"2,832.24","2,851.81","2,831.09","2,847.83"
12/28/2021,"2,833.18","2,852.45","2,827.22","2,832.24"
12/27/2021,"2,795.82","2,833.54","2,789.94","2,833.18"
12/23/2021,"2,784.10","2,803.05","2,784.10","2,795.82"
12/22/2021,"2,750.67","2,777.96","2,750.12","2,776.56"
12/21/2021,"2,680.89","2,750.87","2,680.89","2,750.67"
12/20/2021,"2,728.08","2,728.08","2,645.58","2,680.89"
12/17/2021,"2,731.50","2,752.78","2,700.31","2,728.08"
12/16/2021,"2,766.65","2,787.12","2,722.54","2,731.50"
12/15/2021,"2,737.92","2,769.19","2,709.63","2,766.65"
12/14/2021,"2,750.73","2,765.57","2,729.21","2,737.92"
12/13/2021,"2,779.84","2,779.84","2,741.88","2,750.73"
12/10/2021,"2,777.32","2,798.24","2,756.38","2,779.84"
12/09/2021,"2,818.07","2,818.07","2,777.28","2,777.32"
12/08/2021,"2,802.06","2,823.18","2,800.40","2,818.07"
12/07/2021,"2,755.90","2,826.78","2,755.90","2,802.06"
12/06/2021,"2,702.14","2,774.49","2,702.14","2,755.90"
12/03/2021,"2,737.29","2,750.10","2,682.43","2,702.14"
12/02/2021,"2,664.52","2,746.46","2,664.52","2,737.29"
12/01/2021,"2,708.65","2,776.54","2,664.11","2,664.52"
11/30/2021,"2,781.81","2,781.81","2,703.36","2,708.65"
11/29/2021,"2,779.41","2,813.54","2,766.61","2,781.81"
11/26/2021,"2,870.15","2,870.15","2,758.42","2,779.41"
11/24/2021,"2,862.12","2,874.03","2,849.09","2,870.15"
11/23/2021,"2,875.24","2,888.62","2,847.88","2,873.39"
11/22/2021,"2,870.72","2,903.69","2,870.72","2,875.24"
11/19/2021,"2,883.39","2,883.39","2,862.27","2,870.72"
11/18/2021,"2,888.63","2,899.97","2,864.54","2,883.39"
11/17/2021,"2,910.70","2,910.70","2,872.87","2,888.63"
11/16/2021,"2,907.92","2,923.91","2,901.72","2,910.70"
11/15/2021,"2,902.19","2,915.73","2,901.35","2,907.92"
11/12/2021,"2,893.27","2,905.30","2,893.27","2,902.19"
11/11/2021,"2,878.12","2,900.08","2,878.12","2,893.27"
11/10/2021,"2,903.08","2,907.37","2,866.17","2,878.12"
11/09/2021,"2,907.40","2,913.06","2,893.78","2,903.08"
11/08/2021,"2,905.11","2,925.93","2,901.70","2,907.40"
11/05/2021,"2,880.07","2,923.06","2,880.07","2,905.11"
11/04/2021,"2,889.65","2,907.70","2,873.77","2,880.07"
11/03/2021,"2,857.38","2,899.59","2,851.06","2,889.65"
11/02/2021,"2,851.81","2,864.80","2,840.42","2,857.38"
Date,Open,High,Low,Close
11/01/2021,"2,794.11","2,853.50","2,794.11","2,851.81"
